Timestamp,HT,WT,AGE
1-21-2022 12:09:43,176,70,20
1-21-2022 12:10:11,185,75,20
1-21-2022 12:10:32,180,68,21
1-21-2022 12:10:37,180,97,20
1-21-2022 12:10:37,183,90,20
1-21-2022 12:11:22,178,81,20
1-21-2022 12:12:48,155,61,23
1-21-2022 12:13:04,165,54,20
1-21-2022 12:13:07,157,70,38
1-21-2022 12:15:55,176,78,20
1-21-2022 12:16:09,183,85,20
1-21-2022 12:16:13,170,70,20
1-21-2022 12:16:45,155,52,21
1-21-2022 12:16:57,172,74,31
1-21-2022 12:16:59,150,68,20
1-21-2022 12:17:01,165,52,20
1-21-2022 12:17:01,165,75,21
1-21-2022 12:17:02,157,47,20
1-21-2022 12:17:08,168,60,20
1-21-2022 12:17:21,179,68,20
1-21-2022 12:17:59,175,89,20
1-21-2022 12:18:01,160,55,21
1-21-2022 12:18:11,180,65,20
1-21-2022 12:19:26,166,68,49
1-21-2022 12:19:50,163,48,20
1-21-2022 12:20:18,171,70,21
1-21-2022 12:20:30,155,60,20
1-21-2022 12:20:36,178,100,20
1-21-2022 12:20:39,162,71,20
1-21-2022 12:20:40,156,45,20
1-21-2022 12:20:47,175,85,20
1-21-2022 12:20:57,150,40,20
1-21-2022 12:21:07,167,55,20
1-21-2022 12:21:15,182,75,21
1-21-2022 12:21:21,158,42,19
1-21-2022 12:21:25,176,69,20
1-21-2022 12:21:25,164,40,19
1-21-2022 12:21:33,177,71,19
1-21-2022 12:22:16,171,61,23
1-21-2022 12:22:16,162,67,19
1-21-2022 12:22:18,180,75,20
1-21-2022 12:22:38,170,66,20
1-21-2022 12:22:40,180,62,19
1-21-2022 12:22:49,165,71,19
1-21-2022 12:23:06,156,60,20
1-21-2022 12:23:52,183,76,20
1-21-2022 12:24:22,172,53,20
1-21-2022 12:25:21,180,85,20
1-21-2022 12:25:27,158,49,19
1-21-2022 12:27:00,180,58,20
1-21-2022 12:27:13,164,58,20
1-21-2022 12:27:34,173,70,21
1-21-2022 12:28:00,178,78,19
1-21-2022 12:28:38,172,59,19
1-21-2022 12:30:26,176,65,20
1-21-2022 12:31:08,163,49,18
1-21-2022 12:31:55,184,82,21
1-21-2022 12:31:59,172,63,21
1-21-2022 12:35:09,154,54,21
1-21-2022 12:35:10,183,78,21
1-21-2022 12:35:48,178,69,20
1-21-2022 12:36:15,178,70,20
1-21-2022 12:36:49,185,84,20
1-21-2022 12:37:36,182,85,20
1-21-2022 12:38:23,175,74,20
1-21-2022 12:38:37,151,55,20
1-21-2022 12:38:46,150,56,47
1-21-2022 12:38:47,170,51,20
1-21-2022 12:40:04,168,64,20
1-21-2022 12:40:48,179,58,20
1-21-2022 12:42:44,168,67,21
1-21-2022 12:44:32,152,47,36
1-21-2022 12:45:57,175,77,22
1-21-2022 12:48:03,180,67,21
1-21-2022 12:48:32,183,74,20
1-21-2022 12:48:38,168,70,20
1-21-2022 12:49:01,168,78,21
1-21-2022 12:49:07,184,67,20
1-21-2022 12:52:44,175,80,19
1-21-2022 12:53:45,162,85,20
1-21-2022 12:54:55,182,63,21
1-21-2022 12:55:34,177,72,21
1-21-2022 12:57:20,163,42,21
1-21-2022 12:56:17,175,68,20
1-21-2022 12:56:51,171,70,22
1-21-2022 13:01:27,160,83,19
1-21-2022 13:03:40,153,76,20
1-21-2022 13:03:51,173,77,20
1-21-2022 13:08:00,171,66,20
1-21-2022 13:12:07,153,45,20
1-21-2022 13:15:00,171,65,18
1-21-2022 13:15:13,167,46,20
1-21-2022 13:16:57,180,64,21
1-21-2022 13:33:50,150,80,19
1-21-2022 13:34:25,180,68,20
1-21-2022 13:46:45,170,70,19
1-21-2022 14:01:10,164,44,19
